番号,paraB,paraL,paraQ,typeMP,typePR
,3,3,3,,
0,-1,-1,-1,0,0
1,-1,-1,-1,0,1
2,-1,-1,-1,1,0
3,-1,-1,-1,0,1
4,-1,-1,-1,0,0
5,-1,-1,-1,0,1
6,-1,-1,-1,1,0
7,-1,-1,-1,0,1
8,-1,-1,-1,0,0
9,-1,-1,-1,0,1
10,-1,-1,-1,1,0
11,-1,-1,-1,0,1
12,-1,-1,-1,0,0
13,-1,-1,-1,0,1
14,-1,-1,-1,1,0
15,-1,-1,-1,0,1
16,-1,-1,-1,0,0
17,-1,-1,-1,0,1
18,-1,-1,-1,1,0
19,-1,-1,-1,0,1
20,-1,-1,-1,0,0
21,-1,-1,-1,0,1
22,-1,-1,-1,1,0
23,-1,-1,-1,0,1
24,-1,-1,-1,0,0
25,-1,-1,-1,0,1
26,-1,-1,-1,1,0
27,-1,-1,-1,0,1
28,-1,-1,-1,0,0
29,-1,-1,-1,0,1
30,-1,-1,-1,1,0
31,-1,-1,-1,0,1
32,-1,-1,-1,0,0
33,-1,-1,-1,0,1
34,-1,-1,-1,1,0
35,-1,-1,-1,0,1
36,-1,-1,-1,0,0
37,-1,-1,-1,0,1
38,-1,-1,-1,1,0
39,-1,-1,-1,0,1
40,-1,-1,-1,0,0
41,-1,-1,-1,0,1
42,-1,-1,-1,1,0
43,-1,-1,-1,0,1
44,-1,-1,-1,0,0
45,-1,-1,-1,0,1
46,-1,-1,-1,1,0
47,-1,-1,-1,0,1
48,-1,-1,-1,0,0
49,-1,-1,-1,0,1
50,-1,-1,-1,1,0
51,-1,-1,-1,0,1
52,-1,-1,-1,0,0
53,-1,-1,-1,0,1
54,-1,-1,-1,1,0
55,-1,-1,-1,0,1
56,-1,-1,-1,0,0
57,-1,-1,-1,0,1
58,-1,-1,-1,1,0
59,-1,-1,-1,0,1
60,-1,-1,-1,0,0
61,-1,-1,-1,0,1
62,-1,-1,-1,1,0
63,-1,-1,-1,0,1
64,-1,-1,-1,0,0
65,-1,-1,-1,0,1
66,-1,-1,-1,1,0
67,-1,-1,-1,0,1
68,-1,-1,-1,0,0
69,-1,-1,-1,0,1
70,-1,-1,-1,1,0
71,-1,-1,-1,0,1
72,-1,-1,-1,0,0
73,-1,-1,-1,0,1
74,-1,-1,-1,1,0
75,-1,-1,-1,0,1
76,-1,-1,-1,0,0
77,-1,-1,-1,0,1
78,-1,-1,-1,1,0
79,-1,-1,-1,0,1
80,-1,-1,-1,0,0
81,-1,-1,-1,0,1
82,-1,-1,-1,1,0
83,-1,-1,-1,0,1
84,-1,-1,-1,0,0
85,-1,-1,-1,0,1
86,-1,-1,-1,1,0
87,-1,-1,-1,0,1
88,-1,-1,-1,0,0
89,-1,-1,-1,0,1
90,-1,-1,-1,1,0
91,-1,-1,-1,0,1
92,-1,-1,-1,0,0
93,-1,-1,-1,0,1
94,-1,-1,-1,1,0
95,-1,-1,-1,0,1
96,-1,-1,-1,0,0
97,-1,-1,-1,0,1
98,-1,-1,-1,1,0
99,-1,-1,-1,0,1
100,-1,-1,-1,0,0
101,-1,-1,-1,0,1
102,-1,-1,-1,1,0
103,-1,-1,-1,0,1
104,-1,-1,-1,0,0
105,-1,-1,-1,0,1
106,-1,-1,-1,1,0
107,-1,-1,-1,0,1
108,-1,-1,-1,0,0
109,-1,-1,-1,0,1
110,-1,-1,-1,1,0
111,-1,-1,-1,0,1
112,-1,-1,-1,0,0
113,-1,-1,-1,0,1
114,-1,-1,-1,1,0
115,-1,-1,-1,0,1
116,-1,-1,-1,0,0
117,-1,-1,-1,0,1
118,-1,-1,-1,1,0
119,-1,-1,-1,0,1
120,-1,-1,-1,0,0
121,-1,-1,-1,0,1
122,-1,-1,-1,1,0
123,-1,-1,-1,0,1
124,-1,-1,-1,0,0
125,-1,-1,-1,0,1
126,-1,-1,-1,1,0
127,-1,-1,-1,0,1
128,-1,-1,-1,0,0
129,-1,-1,-1,0,1
130,-1,-1,-1,1,0
131,-1,-1,-1,0,1
132,-1,-1,-1,0,0
133,-1,-1,-1,0,1
134,-1,-1,-1,1,0
135,-1,-1,-1,0,1
136,-1,-1,-1,0,0
137,-1,-1,-1,0,1
138,-1,-1,-1,1,0
139,-1,-1,-1,0,1
140,-1,-1,-1,0,0
141,-1,-1,-1,0,1
142,-1,-1,-1,1,0
143,-1,-1,-1,0,1
144,-1,-1,-1,0,0
145,-1,-1,-1,0,1
